"version","enroadnodeid","enroadnodetype","enroadnodename","enstationid","enhex","exroadnodeid","exroadnodetype","exroadnodename","exstationid","exhex","miles"
"6120231210001","G000561005000810","1","汉中匝道-宝汉梁山立交",,,"G008561002000310","1","梁山立交-南郑匝道",,,"8235"
"6120231210001","G000561005000820","1","宝汉梁山立交-汉中匝道",,,"G000561005000720","1","汉中匝道-汉中东匝道",,,"8235"
"6120231210001","G000561005000820","1","宝汉梁山立交-汉中匝道",,,"G000561005001520","1","汉中-汉中站",,,"8235"
"6120231210001","G000561005000910","1","宝汉梁山立交-勉县匝道",,,"G000561006000110","1","勉县匝道-胡家坝匝道",,,"24791"
"6120231210001","G000561005000910","1","宝汉梁山立交-勉县匝道",,,"G000561005001620","1","勉县-勉县站",,,"24791"
"6120231210001","G000561005000920","1","勉县匝道-宝汉梁山立交",,,"G000561005000820","1","宝汉梁山立交-汉中匝道",,,"24791"
"6120231210001","G000561005000920","1","勉县匝道-宝汉梁山立交",,,"G008561002000220","1","梁山立交-汉中西匝道",,,"24791"
"6120231210001","G000561005000920","1","勉县匝道-宝汉梁山立交",,,"G008561002000310","1","梁山立交-南郑匝道",,,"24791"
"6120231210001","G0005610050010","3","陕西龙亭收费站",,"61012B21","G000561005001010","1","龙亭站-龙亭",,,"0"
"6120231210001","G000561005001010","1","龙亭站-龙亭",,,"G000561005000120","1","龙亭匝道-金水匝道",,,"0"
"6120231210001","G000561005001010","1","龙亭站-龙亭",,,"G000561005000210","1","龙亭匝道-洋县匝道",,,"0"
"6120231210001","G000561005001020","1","龙亭-龙亭站",,,"G0005610050010","3","陕西龙亭收费站",,"61012B21","0"
"6120231210001","G000561005001110","1","洋县站-洋县",,,"G000561005000310","1","洋县匝道-城固匝道",,,"0"
"6120231210001","G000561005001110","1","洋县站-洋县",,,"G000561005000220","1","洋县匝道-龙亭匝道",,,"0"
"6120231210001","G000561005001120","1","洋县-洋县站",,,"G0005610050020","3","陕西洋县收费站",,"61012B22","0"
"6120231210001","G000561005001210","1","城固站-城固",,,"G000561005000410","1","城固匝道-上元观匝道",,,"0"
